aktivna                ak
awaybatter             ab
balls                  ba
baseId                 b
bases                  bs
bejzbol                bj
broj                   br
brojPonuda             bp
dogadjaji              do
domacin                d
en                     en
gost                   g
grupe                  gr
homebatter             hb
id                     i
igrac                  ig
istaknut               is
izvor                  iz
izvorId                ii
kartoni                k
kazne                  kz
kola                   kl
korneri			       kn
leg                    le
liga                   l
listica                li
medPrekid              mp
minuta                 m
naziv                  n
nazivBlagajne          nb
nazivPanel			   nn
nazivPlazma            np
osnovna                o
ostalo                 os
outs                   ou
period                 pe
periodi                pi
plazma                 pl
plazma2                p2
poeni                  pn
ponude                 p
poredak                po
poslovnice             ps
progres                pr
razrada                ra
rezultat               r
sekunde                sc
server                 se
sezone                 sz
sifra                  sf
skriveno               sk
sportId                si
sportPanel			   sn
sportradarId		   sd   
stanje                 s
status                 sa
stoperica              sp
stopirano              so
stopiranoKorner        sr
stopiranoStatistika    ss
strikes                st
tecaj                  t
tecajevi               ti
throw                  th
tim                    tm
timeline               tl
tip                    tp
trajanje               tr
try                    ty
tvKanal                tv
ukupno                 u
ulog                   ul
ulogInterval           ui
unaprijed              un
uplataLimitKoeficijent uk
videoId                vi
vrijeme                v
yards                  ya
zadrska                z
